time,adp,sdadp,asa,sdasa,asp,sdasp,aspp,sdaspp,atp,sdatp,hs,sdhs,hsp,sdhsp,nadp,sdnadp,nadph,sdnadph,phos,sdphos,thr,sdthr,V
12,0.4780625406671411,0.047227059,0.0491300889868406,0.004884989,1.7046748938639331,0.174888401,0.0048091934035191,0.001349872,9.52193745933284,0.454772941,0.1580323892146314,0.012699678,0.0536073002404398,0.007486607,0.5544984391590383,0.050926177,1.4455015608409614,0.151073823,0.4196460470231821,0.04039058,2.0297461342906336,0.204690453,1.0
13,0.5193619433727691,0.051115333,0.0486670882384051,0.004779823,1.68479234352727,0.173285209,0.0047132105668165,0.001336792,9.480638056627212,0.450884667,0.165339070767469,0.012964233,0.0600200926444154,0.008160368,0.5964722497683352,0.054425664,1.403527750231664,0.147574336,0.454628640161537,0.043618173,2.036468194255621,0.205473575,1.0
14,0.5605016582112966,0.054962634,0.0481547855970023,0.004675582,1.6655476877417388,0.171747542,0.004621422282047,0.001324627,9.439498341788685,0.447037366,0.1715747584261775,0.013136872,0.0662874882886593,0.008798027,0.637166098638867,0.057787606,1.3628339013611326,0.144212394,0.4895927476405901,0.04683998,2.0438138576643725,0.206317349,1.0
15,0.6014198144834048,0.058763254,0.0476069057797994,0.004573352,1.6469249828208634,0.170271904,0.0045340722058116,0.001313318,9.398580185516575,0.443236746,0.176819241889258,0.013229269,0.0723681084941914,0.009395765,0.6765990473055026,0.061018175,1.323400952694497,0.140981825,0.5245176337834017,0.050054171,2.051746688810074,0.207216392,1.0
,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,0.001,0.0,0.001,2.0,0.201,0.0,0.001,12.5,0.501,0.0,0.001,0.0,0.001,0.0,0.001,2.0,0.201,0.0,0.001,2.0,0.201,1.0
1,0.0378644872566706,0.004650017,0.0190046995484068,0.002811504,1.970553862176788,0.198201224,0.0048838769302637,0.001454199,12.462135512743323,0.497349983,0.0054212119110846,0.001510033,0.0001319301657176,0.001022291,0.0322863739631078,0.004094364,1.9677136260368933,0.197905636,0.0328486801606892,0.004173526,2.00000441926774,0.201000749,1.0
2,0.0756117245543208,0.008288004,0.032217310555958,0.004025935,1.9420185284811595,0.195544529,0.0053435202349312,0.001481431,12.424388275445676,0.493711996,0.0193543876924734,0.002771972,0.0009943742901658,0.001164167,0.0773474974199236,0.008351368,1.9226525025800776,0.193648632,0.0692738300292237,0.007642406,2.000071878745313,0.201011966,1.0
3,0.1138161900324683,0.01198922,0.0401452997050038,0.004704322,1.9142485475538047,0.193014514,0.005562587450667,0.001485131,12.38618380996753,0.49001078,0.036824827704252,0.004276899,0.0028890836865694,0.001465384,0.1265919501632289,0.012933269,1.873408049836772,0.189066731,0.1053645188952317,0.011038705,2.000329653899702,0.20105375,1.0
4,0.1526317657375248,0.01576715,0.0450280924994791,0.005071813,1.8872225672319456,0.190605126,0.0056531047573096,0.001477129,12.347368234262474,0.48623285,0.0553699025417957,0.005786456,0.0058076558732402,0.001912897,0.177595868888993,0.017603156,1.822404131111008,0.184396844,0.1411710051069748,0.014377125,2.0009186770962284,0.20114658,1.0
