time,adp,sdadp,asa,sdasa,asp,sdasp,aspp,sdaspp,atp,sdatp,hs,sdhs,hsp,sdhsp,nadp,sdnadp,nadph,sdnadph,phos,sdphos,thr,sdthr,V
25,0.9973257408701318,0.093499258,0.0464177756948179,0.003713402,1.4685369402802215,0.158317163,0.0045102528947169,0.00123476,11.50267425912987,0.408500742,0.2217223499798902,0.011623254,0.1127502510479934,0.012911954,1.0466983860769774,0.087319189,0.9533016139230248,0.114680811,0.8800652369274204,0.081352545,2.146062430102359,0.218199468,1.0
26,1.0341278306907868,0.096614159,0.0458106050618258,0.003642645,1.454873046623127,0.157352955,0.0044771689018177,0.001229348,11.46587216930922,0.405385841,0.2211703020993169,0.011341139,0.1159112264091394,0.013025332,1.075723449078044,0.089452021,0.9242765509219584,0.112547979,0.9137394353798284,0.08435948,2.157757650904773,0.219408582,1.0
27,1.0703629626905404,0.099662978,0.0451803900931793,0.003574207,1.4417158064236928,0.156423584,0.0044462283923034,0.001224243,11.429637037309467,0.402337022,0.2201928059765923,0.011052805,0.118787913053648,0.013100617,1.1037228630509608,0.091509957,0.896277136949041,0.110490043,0.947128821244588,0.087338118,2.169676856060584,0.220624544,1.0
28,1.1060155534124754,0.102646344,0.0445271710367273,0.003507978,1.4290566932796382,0.155527571,0.0044172078361405,0.001219421,11.393984446587536,0.399353656,0.2188226811553819,0.010760714,0.121380025029631,0.013139678,1.130715196303803,0.093496196,0.8692848036961995,0.108503804,0.9802183205467028,0.090287245,2.181796221662481,0.221844637,1.0
29,1.1410722103937467,0.105565062,0.0438511499277331,0.003443857,1.4168868503523029,0.154663515,0.0043898835490084,0.00121486,11.358927789606264,0.396434938,0.2170910554249069,0.01046699,0.1236882742329366,0.013144473,1.1567194960290947,0.095413766,0.8432805039709073,0.106586234,1.012994052611801,0.093205729,2.1940927865131123,0.223066304,1.0
30,1.1755216647547744,0.108420089,0.0431527216457267,0.003381749,1.405197040640784,0.153830084,0.0043640339381364,0.001210538,11.324478335245232,0.393579911,0.2150274983797957,0.010173455,0.1257142960168613,0.013117033,1.1817553516495165,0.097265537,0.8182446483504862,0.104734463,1.0454433347997758,0.096092518,2.206544409378697,0.22428714,1.0
31,1.2093547096228243,0.111212512,0.0424324971327863,0.003321566,1.3939776052896846,0.153026013,0.0043394417023046,0.001206438,11.29064529037718,0.390787488,0.2126601409627167,0.009881659,0.1274605882484773,0.013059439,1.2058429499616776,0.099054236,0.7941570500383255,0.102945764,1.0775546796720417,0.098946635,2.2191297266640317,0.225504886,1.0
32,1.2425641411124544,0.113943528,0.041691319018514,0.003263226,1.3832184313510674,0.152250097,0.0043158959858409,0.001202541,11.257435858887549,0.388056472,0.2100157811810554,0.00959291,0.1289304607723918,0.012973805,1.2290031190025583,0.100782454,0.7709968809974442,0.101217546,1.109317784354221,0.101767181,2.2318281116911303,0.22671742,1.0
33,1.275144698988533,0.116614428,0.0409302697586616,0.003206653,1.3729089301956,0.15150119,0.0042931944676054,0.001198834,11.224855301011468,0.385385572,0.2071199763939991,0.009308305,0.1301279927668699,0.012862261,1.2512573581933844,0.102452658,0.7487426418066183,0.099547342,1.1407235117540575,0.104553333,2.244619636417264,0.227922757,1.0
34,1.3070930045778335,0.119226579,0.0401506723758846,0.003151778,1.363038027484576,0.150778197,0.0042711453520676,0.0011953,11.192906995422168,0.382773421,0.2039971227250617,0.009028748,0.1310579958912285,0.012726938,1.2726278529308792,0.104067195,0.7273721470691235,0.097932805,1.1717638633345364,0.107304341,2.257485036171181,0.229119038,1.0
