time;adp;asa;asp;aspp;atp;hs;hsp;nadp;nadph;phos;thr
0.;0.;0.;2.;0.;10.;0.;0.;0.;2.;0.;2.
1.;0.037626698684571996;0.018846866894527473;1.970813525749143;0.00482204175949735;9.962373301315418;0.005359341163115149;0.00015309226246748204;0.0320486533436548;1.9679513466563459;0.03265156466260714;2.000005132171245
2.;0.07515863122754483;0.03186439196413624;1.9426365853984147;0.0052451534509707;9.92484136877244;0.01902265256051778;0.001148078916752358;0.07666162651671056;1.9233383734832896;0.06876539885982177;2.0000831377092045
3.;0.1132167518120914;0.03957591281791876;1.9153263672420047;0.005426730292521317;9.886783248187891;0.035973870593458086;0.0033175883005984942;0.12527907679162364;1.8747209232083766;0.10447243321897158;2.000379530753495
4.;0.15195501363340647;0.044221372917840875;1.8888581379181466;0.005480040884057072;9.848044986366576;0.05375529672840146;0.006632661861637659;0.1754810934036979;1.8245189065963023;0.13984231088771176;2.0010524896899127
5.;0.19136843421710686;0.04700764188352458;1.8632073861919012;0.005460333638150214;9.808631565782871;0.07115881787741526;0.010928289245523418;0.2259983653403249;1.7740016346596754;0.17497981133343327;2.002237531163482
6.;0.23138116382011908;0.04862959114428887;1.8383503755839394;0.00539893368244918;9.768618836179858;0.08758156018526295;0.01600340201549008;0.27612092321457704;1.7238790767854228;0.20997882812217983;2.0040361373885665
7.;0.2718886674834142;0.04950561537586841;1.8142644033452873;0.005314250374270179;9.728111332516564;0.10273666007587186;0.021663403517199347;0.3254396329448335;1.674560367055166;0.24491101359194464;2.006515667311499
8.;0.31277843871161143;0.049895385437864176;1.7909278083859106;0.005217352124570536;9.687221561288368;0.11650920695413207;0.027736251308989938;0.3737170271461077;1.6262829728538917;0.2798248352780509;2.00971399578853
9.;0.353940063078529;0.04996360613837534;1.7683199100295879;0.005114990171800467;9.646059936921452;0.12887952055211838;0.03407645670947522;0.4208174768187535;1.5791825231812462;0.31474861619725325;2.01364551639864
10.;0.3952698573558568;0.04981647957509555;1.7464209381436642;0.0050113121898544;9.604730142644124;0.13988047459186403;0.0405638774929638;0.46666735311655405;1.5333326468834454;0.34969466767303864;2.0183069180065565
11.;0.4366727174541915;0.049523377670022316;1.7252119725165398;0.0049088646481277014;9.563327282545792;0.14957309519457776;0.047100582653861404;0.5112314176676382;1.4887685823323613;0.38466327015220236;2.023682107316869
12.;0.47806254066714116;0.04913008898684061;1.7046748938639333;0.00480919340351915;9.52193745933284;0.1580323892146314;0.05360730024043988;0.5544984391590383;1.4455015608409614;0.4196460470231821;2.0297461342906336
13.;0.5193619433727691;0.048667088238405196;1.68479234352727;0.004713210566816571;9.480638056627212;0.16533907076746904;0.060020092644415476;0.5964722497683352;1.403527750231664;0.454628640161537;2.036468194255621
14.;0.5605016582112966;0.04815478559700236;1.6655476877417388;0.004621422282047051;9.439498341788685;0.17157475842617753;0.06628748828865931;0.637166098638867;1.3628339013611326;0.48959274764059013;2.0438138576643725
15.;0.6014198144834048;0.04760690577979947;1.6469249828208634;0.004534072205811673;9.398580185516577;0.17681924188925807;0.07236810849419141;0.6765990473055026;1.323400952694497;0.5245176337834017;2.051746688810074
16.;0.6420612076688311;0.047032690480741796;1.6289089386147193;0.00445123309025368;9.357938792331153;0.181148991530736;0.07822874889270665;0.7147936521964556;1.2852063478035438;0.5593812256858708;2.060229397390839
17.;0.6823766104478147;0.046438350863796496;1.611484878648985;0.004372865972705017;9.317623389552173;0.18463641541771453;0.08384284815985021;0.7517744705447521;1.2482255294552471;0.5941608963152595;2.0692246409369455
18.;0.7223221483564353;0.04582803675942937;1.5946386962407768;0.0042988588873468046;9.277677851643553;0.18734956351523516;0.08918927412042989;0.7875670999169209;1.2124329000830787;0.6288340153486585;2.078695570476778
19.;0.7618587474056072;0.045204491272094666;1.5783568065615234;0.004229052477399205;9.23814125259438;0.1893520957218522;0.09425136424115287;0.8221975674792374;1.1778024325207628;0.6633783306870549;2.0886061897259736
20.;0.8009516526981906;0.044569498651254306;1.5626260950908777;0.004163257135017532;9.199048347301797;0.19070340133378286;0.0990161674747451;0.8556919506943467;1.1443080493056534;0.6977722280884279;2.0989215803143177
21.;0.8395700129729463;0.0439241949845363;1.5474338632169469;0.00410126460624682;9.16042998702704;0.1914588010023788;0.103473844371243;0.8880761522969645;1.1119238477030358;0.7319949039954563;2.1096080318186448
22.;0.8776865242183147;0.043269286918973124;1.5327677719282027;0.004042855947858459;9.12231347578167;0.1916697890584501;0.10761719116039033;0.9193757785397505;1.0806242214602495;0.7660264771100657;2.1206331049861227
23.;0.9152771249735734;0.042605207986609175;1.518615784646572;0.003987807061954403;9.084722875026412;0.19138429068472163;0.11144126081431273;0.9496160864895374;1.0503839135104627;0.799848057097306;2.1319656488058283
24.;0.952320736069751;0.04193223199702963;1.5049661102958114;0.003935892613217258;9.047679263930238;0.19064691872838113;0.1149430599728008;0.9788219770515669;1.021178022948433;0.8334417834837329;2.143575786392757
25.;0.9887990380207474;0.041250556366387296;1.4918071477024006;0.003886888862011858;9.011200961979243;0.18949922134605424;0.11812130524400498;1.0070180175507701;0.9929819824492302;0.8667908439147305;2.1554348804791377
26.;1.0246962798708632;0.04056036392674272;1.4791274323988057;0.0038405757687802683;8.975303720129126;0.1879799156360036;0.12097622600216515;1.0342284824499968;0.9657715175500033;0.8998794780999182;2.1675154862674986
27.;1.0599991139398988;0.039861868906698135;1.4669155868472334;0.0037967386071333297;8.94000088606009;0.18612510485180392;0.12350940359824758;1.0604774039881293;0.9395225960118708;0.9326929717345183;2.179791297188881
