time,adp,asa,asp,aspp,atp,hs,hsp,nadp,nadph,phos,thr
0.,0.,0.,2.,0.,15.,0.,0.,0.,2.,0.,2.
1.,0.03802509639332718,0.019112292177904194,1.9703766146004844,0.004926328205514189,14.961974903606674,0.005465054022282593,0.0001158331849808189,0.03244830348324767,1.9675516965167523,0.032982935002832184,2.000003877808831
2.,0.07590897985881166,0.03245930524398703,1.9415946096015537,0.005411743329741912,14.924091020141189,0.019594752364348808,0.0008763275187063635,0.07781649121355586,1.9221835087864445,0.0696209090103634,2.000063261941658
3.,0.11418808409915049,0.040538377468251306,1.913505568535033,0.005657795597625576,14.88581191590085,0.03745060576490267,0.0025565066044724552,0.1274932750252987,1.8725067249747007,0.10597378189705244,2.000291146029711
4.,0.1530134746216535,0.04558916940024621,1.8860893198000295,0.005775691296863579,14.846986525378343,0.05657102508117397,0.005160396867630545,0.17905369918505215,1.8209463008149473,0.14207738645715942,2.0008143975540524
5.,0.19240920340473963,0.04881122558937499,1.8593304799190813,0.0058190785284052806,14.807590796595258,0.0757095326393138,0.008582915919955034,0.2312204006115257,1.7687795993884738,0.17800720895637928,2.0017467674038656
6.,0.23233772475407044,0.05089053208586019,1.8332167623256816,0.0058183781864777715,14.767662275245925,0.09421184032222424,0.012683609217495822,0.2832708929316088,1.7167291070683905,0.21383573735009684,2.0031788778622563
7.,0.2727323509352848,0.05223717913876107,1.8077380767176625,0.005791554965389052,14.727267649064716,0.11173676152523512,0.017319913799860392,0.33477971573026943,1.6652202842697297,0.24962088217003525,2.0051765138530877
8.,0.3135141249817799,0.053103817214967854,1.7828858785831014,0.005749524680750563,14.686485875018219,0.12811677595629473,0.02236124145924788,0.38549021831126884,1.6145097816887304,0.28540335884178136,2.007782762105634
9.,0.3546007129680375,0.05364951868920368,1.7586527148413287,0.00569906783012973,14.645399287031958,0.1432832708299666,0.0276938053134595,0.4352456367266571,1.564754363273342,0.3212078398244481,2.0110216224959085
10.,0.3959110448663004,0.05397609970826179,1.7350319157058343,0.0056444714603895,14.604088955133694,0.1572245525533747,0.03322109362144616,0.48395001873481186,1.5160499812651878,0.3570454797844645,2.0149018669506917
11.,0.43736763778525123,0.05414956874125899,1.7120173913553935,0.005588484869942961,14.562632362214744,0.16996152589275484,0.038862455843720584,0.531545217787015,1.4684547822129845,0.39291669707158733,2.019420573296926
12.,0.47889764309219085,0.05421314227881426,1.6896035010413837,0.0055328897463957066,14.521102356907802,0.18153332279982753,0.04455102577655156,0.577996965813445,1.4220030341865544,0.42881372756924335,2.0245661183570247
13.,0.5204331934278326,0.05419530804218994,1.6677849701038012,0.00547884702779478,14.47956680657216,0.1919887112945753,0.0502315663691882,0.6232862612773912,1.3767137387226074,0.46472278003084944,2.0303205971624476
14.,0.561911373967916,0.05411490318280417,1.6465568367401069,0.005427111438129307,14.43808862603208,0.201380937930932,0.05585849207725079,0.6674039548912823,1.3325960451087158,0.5006257704525358,2.0366617186307745
15.,0.6032740025177474,0.05398435769601345,1.6259144153743939,0.005378166129979676,14.39672599748225,0.2097646429074668,0.06139415961385361,0.7103473014522732,1.2896526985477248,0.5365016767739141,2.0435642582782902
16.,0.644467323797065,0.05381179275345963,1.6058532673088093,0.005332308334044458,14.355532676202934,0.21719404049780647,0.066807438868386,0.7521177432194139,1.2478822567805838,0.5723275765946344,2.051001152237491
17.,0.6854416776759212,0.053602395674122415,1.586369172222226,0.005289704553531162,14.314558322324078,0.22372187765196735,0.07207254109275449,0.7927194778264406,1.207280522173557,0.6080794320296355,2.0589443088053945
18.,0.7261511746009301,0.05335933340906624,1.567458096219588,0.005250426596323513,14.273848825399067,0.22939887295449848,0.07716806913376402,0.8321585341694167,1.1678414658305807,0.6437326788708426,2.0673652016867554
19.,0.7665533959223018,0.05308436921172382,1.5491161537115574,0.005214475421073872,14.233446604077697,0.23427345202178051,0.08207625288162534,0.8704421826336495,1.129557817366347,0.6792626676196024,2.076235296752235
20.,0.806609127710435,0.05277828712829636,1.5313395615700696,0.0051817971658718555,14.193390872289564,0.23839166485525173,0.08678233618091404,0.9075785690968294,1.0924214309031672,0.7146449943636493,2.085526353099592
21.,0.8462821312899632,0.05244119137231623,1.5141245848820921,0.005152294134300922,14.153717868710036,0.2417972134392294,0.09127408617974536,0.943576501247783,1.0564234987522132,0.7498557509759172,2.095210629992311
22.,0.8855389505708585,0.052072723860588435,1.4974674743030503,0.005125832528542982,14.11446104942914,0.24453154443390396,0.09554140102431358,0.9784453402226052,1.0215546597773915,0.7848717170180022,2.105261023849596
23.,0.924348754406551,0.05167222795955752,1.4813643955594875,0.005102248103287107,14.075651245593452,0.24663397841162338,0.09957599630662523,1.0121949659659253,0.9878050340340709,0.8196705099966389,2.115651153659415
24.,0.962683211116469,0.05123887663130935,1.4658113521125744,0.005081350523997907,14.037316788883532,0.24814185750306916,0.10337115452185441,1.0448357944699616,0.9551642055300358,0.8542307060706169,2.126355408707192
25.,1.0005163916556818,0.05077177670677718,1.450804102397559,0.005062926961588691,13.99948360834432,0.24909069988083005,0.10692152496330562,1.0763788312218947,0.9236211687781026,0.888531939730788,2.1373489690899388
26.,1.0378246975125378,0.05027005672338846,1.4363380734125508,0.005046745289433805,13.962175302487468,0.24951435364953442,0.11022296403786969,1.10683574911089,0.8931642508891071,0.9225549881852341,2.148607806887221
27.,1.0745868091638942,0.04973294287717479,1.422408272745339,0.005032557135065627,13.92541319083611,0.2494451453331834,0.11327240801309241,1.1362189815411903,0.8637810184588073,0.9562818440157347,2.160108673896142
